codigo_inep,nome_escola,codigo_ibge,latitude,longitude,tem_rampa,tem_banheiro_pcd,acesso_total
25146408,EMEIF ASCENDINO MOURA,2509339,-7.1222501,-35.77232003,True,False,False
25002457,ECI JOSE SERAFIM DE LIMA,2509370,-6.5422338,-37.7130957,True,True,False
25002490,ESC MUL MIGUEL FILHO DA SILVA,2509370,-6.559959,-37.70709,True,True,True
25002503,E M JOAO FRANCISCO DA SILVA,2509370,-6.544085,-37.73798,True,True,True
25002635,ESCOL MUNICIPAL LAURENTINO JOSE DA SILVA,2509370,-6.552626,-37.75963,True,True,True
25002724,ESC MUL JOSE FRANCISCO DA SILVA,2509370,-6.533841,-37.7264,False,False,True
25002813,ESC MUL FRANCISCO VENANCIO DA SILVA,2509370,-6.544881,-37.72962,False,False,False
25109537,ESC MUL MARIA DE LOURDES DE LIMA,2509370,-6.541553,-37.71805,True,True,True
25037781,ECI ANTONIO MOACIR DANTAS CAVALCANTI,2509396,-7.265643333,-37.34649333,True,True,False
25038060,EMEF MARIA TAMARA SOUZA DO NASCIMENTO,2509396,-7.26468,-37.34414167,True,True,False
25038338,EMEF JOSE RAMALHO XAVIER,2509396,-7.266263,-37.34967,True,True,False
25038354,EMEF MANOEL MACHADO DA COSTA,2509396,-7.331059,-37.36813,False,False,False
25082493,ECIT OTAVIA SILVEIRA,2509404,-7.30867215,-35.47750292,True,True,True
25082540,EEEF LEOVIGILDA MARTINS,2509404,-7.301271,-35.47905,False,False,False
25082574,EMEIEF DO CUMATI,2509404,-7.315922356,-35.53200695,True,False,False
25082590,EMEIEF ANTONIO DE ANDRADE SOBRINHO,2509404,-7.247971315,-35.52122489,False,False,False
25082612,EMEIEF JOAO PAULO II,2509404,-7.25561,-35.48661667,False,False,False
25082620,EMEIF JOSE ANTONIO RODRIGUES,2509404,-7.278209408,-35.52693238,False,False,False
25082639,EMEIEF JOSE LUCIANO RODRIGUES,2509404,-7.265803333,-35.49491833,False,False,False
25082647,EMEIEF SENADOR RUI CARNEIRO,2509404,-7.342499,-35.52111,True,True,False
25082663,EMEIEF CREMILDA DA SILVA LIRA,2509404,-7.285592649,-35.4889937,True,True,True
25082680,EMEIEF ANTONIO JOSE DE ANDRADE,2509404,-7.296260004,-35.52710982,True,True,True
25082710,EMEIEF JOAO AVELINO DA SILVA,2509404,-7.29861,-35.49944,True,True,True
25082728,EMEIEF JOAO BEZERRA DE SALES,2509404,-7.358703129,-35.4625426,True,True,True
25082736,EMEIEF JOAO VICENTE DE BRITO,2509404,-7.27387324,-35.54662323,True,True,True
25082760,EMEIEF JOSE BENEDITO DA SILVEIRA,2509404,-7.302159481,-35.55573779,True,True,True
25082787,EMEIEF MARIA DAS DORES CHAGAS,2509404,-7.3058017,-35.4769683,True,True,True
25082795,EMEIEF MARIA JOSE VIEIRA,2509404,-7.30844027,-35.47569189,True,False,False
25082809,EMEIEF PAULO VI,2509404,-7.250765,-35.50551167,False,False,False
25082817,EMEIEF VALENTIN FCO DOS SANTOS,2509404,-7.324443,-35.55111,True,True,False
25082825,INST EDUC INF ENS FUN VIRGEM DOS POBRES,2509404,-7.3033725,-35.4778546,True,True,False
25114832,CENTRO EDUCACIONAL FLORESTA ENCANTADA,2509404,-7.304793,-35.47824,False,False,False
25118706,EMEIEF JOAO PEDRO TEIXEIRA,2509404,-7.319659302,-35.46712406,False,False,False
25123335,EMEF IRACI RODRIGUES DE FARIAS MELO,2509404,-7.307675,-35.4759767,True,True,True
25128566,CRECHE MARIA LEONARDO DE LIMA,2509404,-7.306479262,-35.47075921,True,True,True
25062069,ECI MARIA JOSE DE SOUZA,2509503,-7.0866988,-35.961147,True,True,True
25062077,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ERASMO DE ARAUJO SOUZA,2509503,-7.08749008,-35.95981435,True,True,True
25062093,EMEIF HELENA JOSE PORTO,2509503,-7.08878689,-35.96072815,True,True,True
25062107,EMEIF MANOEL SEBASTIAO DO NASCIMENTO,2509503,-7.09542227,-35.9441577,True,True,True
25062115,EMEIF MARIA DAS NEVES P DE ARAUJO,2509503,-7.100779479,-35.93101446,False,False,False
25062123,EMEF GENUINO BRITO DA SILVA,2509503,-7.083006667,-35.96655333,True,True,True
25062131,EMEIF MARIA VITAL DOS SANTOS,2509503,-7.0936195,-35.9759829,True,True,True
25062158,EMEIF IRINEU JOSE DE MARIA,2509503,-7.09005696,-35.89781446,True,True,True
25132466,ESCOLA MATERNO INFANTIL ALPHA OMEGA,2509503,-7.08798153,-35.95485861,True,False,True
25009559,ECI BONIFACIO SARAIVA DE MOURA,2509602,-7.21161576,-38.58134478,True,False,False
25009648,EMEIF IDELFONSO MANUEL DO NASCIMENTO,2509602,-7.189899,-38.56118,False,False,False
25045334,COLEGIO NOSSA SENHORA DE LOURDES,2509701,-7.8984031,-37.1121031,True,True,False
25045342,ESCOLA MUNICIPAL TIRADENTES,2509701,-7.89365132,-37.1302695,True,True,False
25045377,ECIT JOSE LEITE DE SOUZA,2509701,-7.8939626,-37.1312138,True,True,True
25045466,EEEM BENTO TENORIO DE SOUSA ESCOLA DO CAMPO,2509701,-7.7810789,-37.1057706,False,False,False
25045555,EEEFM MIGUEL SANTA CRUZ,2509701,-7.89251495,-37.12409104,False,False,False
25045946,EMEIEF MANOEL MACIEL DA SILVA,2509701,-7.941032526,-37.05748644,False,False,False
25046071,EMEIEF BENICIA ALVES DE LIMA,2509701,-7.787188735,-37.10634421,False,False,False
25046080,EMEF II BENTO TENORIO DE SOUSA,2509701,-7.787127371,-37.10630856,False,False,False
25046110,EMEIEF BRISA NUNES BRAZ,2509701,-7.888803855,-37.1269278,True,True,False
25046349,EMEIEF TOBIAS REMIGIO GOMES,2509701,-8.014458298,-37.09944098,True,False,True
25046519,EMEIEF TERCIO CALDEIRA,2509701,-7.869231895,-37.02665585,True,False,True
25046535,EMEIEF JOSE BELARMINO ALVES,2509701,-7.9810022,-36.9702732,True,False,True
25102028,CRECHE MUNICIPAL ANA RAPOSO ARAGAO,2509701,-7.8978089,-37.1216198,True,True,True
25102168,EMEIEF LAURA LOPES FRAZAO,2509701,-7.957086787,-37.28929099,False,True,True
25107321,EMEF I PROF JOSE DE ARAUJO VALENCA,2509701,-7.89830953,-37.12125276,True,True,False
25115340,INSTITUTO EDUCACIONAL JOSE PEREIRA DO NASCIMENTO,2509701,-7.89669653,-37.12597187,True,True,True
25115359,EEEM JOAO DE OLIVEIRA CHAVES,2509701,-7.8933775,-37.1144933,True,False,True
25119036,ESCOLA MONTEIRO LOBATO,2509701,-7.889595,-37.12191,True,True,True
25122118,EMEF PROFª ADALICE REMIGIO GOMES,2509701,-7.90677086,-37.12372344,True,True,True
25122126,CRECHE MUNICIPAL DR FERNANDO BEZERRA PARAGUAY,2509701,-7.903597637,-37.11908737,True,True,False
25122142,EMEF II PROFª MARIA DO SOCORRO ARAGAO LIBERAL,2509701,-7.892276896,-37.1275339,True,True,True
25127390,CRECHE MUNICIPAL FRANCISCA MINEIRO SILVA,2509701,-7.892903349,-37.1306755,True,True,True
25129244,EMEF PROFESSORA MARIA LAURICEIA FREITAS,2509701,-7.893778724,-37.11513614,True,False,True
25129791,COMPLEXO EDUCACIONAL DO CARIRI,2509701,-7.89274854,-37.1163446,True,True,True
25130382,EMEF NAPOLEAO SANTA CRUZ NETO,2509701,-7.892100777,-37.1172127,True,True,True
